post_id,text,post_text,time
3177324002306890,"Patrick Raharimanana
June 15 at 4:12 PM ·
Mety mahasoa anao: Ahoana no ahafantarana fa maty ny batterie na ny alternateur no tsy mi charge
Mihamangatsiaka izao ny andro. Na ny fiara, na ny moto dia matetika mamotsotra ny démarreur rehefa maraina ny andro, tsy mamaly ny batterie.
1- Test klaxon na jiro
Ny batterie n'ny fiara na moto matetika dia courant continue 12V. Tokony maharitra 3-4 taona eo ny batterie tsara, fa eo amin'ny 1 taona eo matetika ny batterie amidy eto Madagasikara, ireny batterie charge à sec ireny, izany hoe rehefa mividy azy, vao asiana asidra, dia tsy mila charger na fa avy dia mandeha tsikelikely ny charge.
Raha natory indray alina izy, dia tokony eo amin'ny 12.6V eo raha tester amin'ny multimètre position Volt…",,2020-06-16 07:14:30
3174800782559212,"Ny any ivelany 😂
Je Crois Pas
November 23, 2019 at 4:50 PM ·
Maro video fa ity iray ity tena trop 😂😂😂
Azo alaina tahaka ity ho an'izay matahotra hiampita arabe ireny 😂",Ny any ivelany 😂,2020-06-15 07:54:00
3183991918306765,"Vahoaka Malagasy
1 hr ·",,2020-06-18 18:21:29
,,,
3183577338348223,"Miala tsiny fa tsy mahalala dia manontany :
Possible ve hoe retirer-na aminao ny carte grise-nao nefa tsy nahazo contravention ianao na taratasy fanamarinana ny nangalana ny carte-grise nao?
Toy izao ilay tranga : monina eo ankadifotsy eo amin'ny parking près Rafidison eo ilay fiara (efa ho 12 ans zay). Gaga aho raha nisy niantso tao an-trano fa nisy polisy sy éléments an'ny commune nanisy ireny fi-bloquéna pneus miloko mavo ireny ilay fiara. Tsy mandà ny fanasaziana ny tenako raha toa nisy fahadisoana saingy kosa tsy mazava amiko hoe maninona no napetraka ilay izy satria sady tsy misy panneaux ilay toerana no tsy misy marquage au sol no tsy misy horodateur ihany koa eo. Efa misy lamina… More","Miala tsiny fa tsy mahalala dia manontany :
Possible ve hoe retirer-na aminao ny carte grise-nao nefa tsy nahazo contravention ianao na taratasy fanamarinana ny nangalana ny carte-grise nao?
Toy izao ilay tranga : monina eo ankadifotsy eo amin'ny parking près Rafidison eo ilay fiara (efa ho 12 ans zay). Gaga aho raha nisy niantso tao an-trano fa nisy polisy sy éléments an'ny commune nanisy ireny fi-bloquéna pneus miloko mavo ireny ilay fiara. Tsy mandà ny fanasaziana ny tenako raha toa nisy fahadisoana saingy kosa tsy mazava amiko hoe maninona no napetraka ilay izy satria sady tsy misy panneaux ilay toerana no tsy misy marquage au sol no tsy misy horodateur ihany koa eo. Efa misy lamina… More",2020-06-18 15:01:53
3183654435007180,"Rallye updated their cover photo.
6 hrs ·",,2020-06-18 15:40:49
3183497195022904,"Rallye
6 hrs ·
504 pickup
1990 24eme grand rallye de Madagascar
Haja Danielson - Jimmy Razakasoa",,2020-06-18 14:19:41
3178903742148916,,,2020-06-16 21:19:11
3183714745001149,"Ny Vaovaon'i KOLO TV
8 hrs ·
SAMBAVA: « Infirmier libre » mbola mitady poste no sady mpampianatra amin'ny sekoly tsy miankina sarona nangalatra Moto… nahanton’ny olona tamin'ny tady…
Anio hariva, amin’ny fampahalalam-baovaon’ny KOLO TV ny andininy mahakasika ity tranga ity.",,2020-06-18 16:11:33
3181950088510948,Misokatra hono lalana national rht ankoatrany analamanga Tamatave moramanga.???,Misokatra hono lalana national rht ankoatrany analamanga Tamatave moramanga.???,2020-06-17 23:18:44
